Experiment,Queries Per Second
1,10.845399409384877
2,11.276555216366328
3,11.824024360348039
4,11.282247768716589
5,10.368888627172124
6,11.579644747119191
7,11.49289786828773
8,11.492544224867087
9,11.427306646085565
10,11.388490323634505
11,10.581913349291842
12,11.047127517806606
13,11.590547198322328
14,10.496221584052826
15,10.154557431626456
16,9.301661306216971
17,9.945471042435795
18,9.642622581173779
19,9.969364134962097
20,9.34310544498505

Mean Queries Per Second,10.752529539142788
Median Queries Per Second,10.946263463595741
Standard Deviation of Queries Per Second,0.7851204730677684
