Parameters,Recall (%),Time Taken (seconds),Recalls per Second
"2,4,490",96.8,0.023037171363830565,43.40810702003314
"2,5,490",98.4,0.0234920597076416,42.56757442493284
"3,4,490",97.0,0.023667232990264894,42.25251005942827
"3,5,485",95.19999999999999,0.023707311153411865,42.1810804915379
"3,5,490",96.2,0.0234018611907959,42.731643942632495
"4,3,485",91.60000000000001,0.02462836503982544,40.60358852010453
"4,3,490",93.4,0.02458678960800171,40.672247818582726
"4,4,485",92.0,0.02457052707672119,40.699167619705975
"4,4,490",98.6,0.026248269081115723,38.097750252013704
"4,5,480",97.0,0.025694143772125245,38.91937434727317
"4,5,485",98.2,0.027003326416015626,37.032474614197966
"4,5,490",98.4,0.02477712631225586,40.35980554796445
"5,3,490",94.19999999999999,0.02558408498764038,39.08679948816219
"5,4,485",99.0,0.025170004367828368,39.729830213226876
"5,4,490",100.0,0.026876037120819093,37.20786645384434
"5,5,485",99.6,0.026715919971466065,37.430865231968426
"5,5,490",98.2,0.025933830738067626,38.55967173149337
"6,3,485",90.4,0.02463228702545166,40.597123562531394
"6,3,490",98.4,0.026919496059417725,37.147797930271885
"6,4,485",92.0,0.02478466749191284,40.34752535317639
"6,4,490",100.0,0.02661795377731323,37.5686278654639
"6,5,480",95.0,0.024352426528930663,41.063669725561056
"6,5,485",98.6,0.02428990125656128,41.169372795613
"6,5,490",99.8,0.025369460582733153,39.41747191426748
"7,3,485",95.6,0.02530305624008179,39.52091757263421
"7,3,490",98.6,0.026973917484283447,37.072850118365544
"7,4,480",90.2,0.023540081977844237,42.480735663588305
"7,4,485",97.8,0.025537214279174804,39.158538948999
"7,4,490",100.0,0.026970007419586182,37.07822487559937
"7,5,480",98.2,0.024249296188354492,41.23831026816527
"7,5,485",100.0,0.025319221019744872,39.49568587517613
"7,5,490",100.0,0.027123546600341795,36.86833490969055
"8,2,485",94.0,0.026561684608459472,37.64821451428258
"8,2,490",94.19999999999999,0.02496628999710083,40.05400883015151
"8,3,490",99.0,0.028213860988616942,35.44357152689794
"8,4,485",95.8,0.024640836715698243,40.583037481146796
"8,4,490",100.0,0.02876138925552368,34.76883509053542
"8,5,480",99.0,0.024385862350463867,41.00736671225317
"8,5,485",100.0,0.02579867362976074,38.761682648925934
"8,5,490",100.0,0.026294710636138915,38.03046224154376
"9,2,490",94.19999999999999,0.026549525260925293,37.66545692143757
"9,3,485",96.39999999999999,0.02744983434677124,36.43009234107178
"9,3,490",99.0,0.027007648944854735,37.0265476288528
"9,4,480",98.0,0.025914981365203857,38.587718274137124
"9,4,485",100.0,0.027249884605407716,36.69740310759154
"9,4,490",100.0,0.0286495304107666,34.90458606693938
"9,5,475",95.39999999999999,0.025774335861206053,38.79828389701162
"9,5,480",99.6,0.02585911989212036,38.67107636191107
"9,5,485",100.0,0.027002501487731933,37.03360595885277
"9,5,490",100.0,0.029561314582824707,33.827994935685496
"10,3,485",97.6,0.02902884244918823,34.44849727474973
"10,3,490",99.2,0.029541118144989012,33.85112219151487
"10,4,480",99.0,0.02681259870529175,37.29589999803486
"10,4,485",100.0,0.028151957988739013,35.52150796758106
"10,4,490",100.0,0.029313907623291016,34.11350041935255
