Parameters,Recall (%),Time Taken (seconds),Recalls per Second
"7,4,480",90.2,0.0235400819778442,42.48073566358831
"6,3,485",90.4,0.0246322870254516,40.597123562531394
"4,3,485",91.6,0.0246283650398254,40.60358852010453
"4,4,485",92.0,0.0245705270767211,40.699167619705975
"4,3,490",93.4,0.0245867896080017,40.672247818582726
"8,2,485",94.0,0.0265616846084594,37.64821451428258
"8,2,490",94.2,0.0249662899971008,40.05400883015151
"6,5,480",95.0,0.0243524265289306,41.063669725561056
"3,5,485",95.2,0.0237073111534118,42.1810804915379
"13,4,475",95.4,0.0248591065406799,40.22670719736369
"7,3,485",95.6,0.0253030562400817,39.52091757263421
"8,4,485",95.8,0.0246408367156982,40.5830374811468
"11,5,475",96.0,0.0264869427680969,37.75445164643476
"3,5,490",96.2,0.0234018611907959,42.731643942632495
"9,3,485",96.4,0.0274498343467712,36.43009234107178
"2,4,490",96.8,0.0230371713638305,43.40810702003314
"3,4,490",97.0,0.0236672329902648,42.25251005942827
"12,5,475",97.2,0.0272099471092224,36.75126585090144
"12,2,485",97.6,0.0282398200035095,35.41099057556756
"7,4,485",97.8,0.0255372142791748,39.158538948999
"9,4,480",98.0,0.0259149813652038,38.58771827413712
"7,5,480",98.2,0.0242492961883544,41.23831026816527
"2,5,490",98.4,0.0234920597076416,42.56757442493284
"6,5,485",98.6,0.0242899012565612,41.169372795613
"14,4,480",98.8,0.0287165188789367,34.823162383149736
"8,5,480",99.0,0.0243858623504638,41.00736671225317
"12,5,480",99.2,0.0271950840950012,36.77135163497479
"13,3,485",99.4,0.027598373889923,36.23401885881134
"9,5,480",99.6,0.0258591198921203,38.67107636191107
"6,5,490",99.8,0.0253694605827331,39.41747191426748
"7,5,485",100.0,0.0253192210197448,39.49568587517613
